ID,Name,Price,"Quantity on Hand"
131,"Green-yellow Dining Chair",$89.99,59
132,"Star command blue Stool",$54.99,2
133,"Amazon green Bench",$114.99,74
134,"Sugar Plum Dining Chair",$89.99,69
135,"Lilac Bench",$114.99,95
136,"Persian green Futon",$219.99,77
137,"Shadow grey Bed",$389.99,38
138,"Dark slate blue Reclining Loveseat","$1,023.99",97
139,"May green Bed",$389.99,96
140,"Sienna Plant Stand",$42.99,17
141,"Arctic lime Wardrobe",$719.99,32
142,"Tiffany Blue Bed",$389.99,11
143,"Sugar Plum Futon",$219.99,68
144,"Dark cornflower blue Coffee Table",$200,73
145,"Satin sheen gold End Table",$39.99,25
146,"Tangerine Chaise Lounge",$235.99,42
147,"Red Daybed",$311.99,43
148,"Dark violet End Table",$39.99,61
149,"Sacramento State green Dining Table",$800,66
150,"Macaroni and Cheese Sleeper Sofa","$1,279.99",0
151,"Blond Dining Chair",$89.99,37
152,"Spanish blue Reclining Sofa","$1,119.99",54
153,"Ruby Plant Stand",$42.99,92
154,"Pewter Blue Dresser",$699.99,68
155,"Deep saffron End Table",$39.99,69
156,"Sand Stool",$54.99,19
157,"Castleton green Sleeper Sofa","$1,279.99",30
158,"Pink Sherbet Reclining Sofa","$1,119.99",61
159,"Spring green Stool",$54.99,58
160,"Amazon green Coffee Table",$200,4
161,"Lime green Sectional","$1,039.99",46
162,"Hollywood cerise Sleeper Sofa","$1,279.99",25
163,"Maximum red Dining Table",$800,18
164,"Middle blue Plant Stand",$42.99,43
165,"Medium slate blue End Table",$39.99,47
166,"Jasmine Ottoman",$52.99,49
167,"Metallic Seaweed Plant Stand",$42.99,90
168,"Spanish gray Storage Bench",$194.99,71
169,"Golden yellow Reclining Sofa","$1,119.99",91
170,"Mountbatten pink Coffee Table",$200,26
171,"Cocoa brown Dining Table",$800,18
172,"Razzmatazz Ottoman",$52.99,74
173,"Light sky blue Loveseat",$269.99,84
174,"Wintergreen Dream Nightstand",$81.99,57
175,"Ochre Headboard",$222.99,24
176,"Cardinal Dining Chair",$89.99,45
177,"Pictorial carmine Dining Chair",$89.99,71
178,"Quinacridone magenta Crib",$289,44
179,"Japanese carmine Daybed",$311.99,44
180,"Nickel Coffee Table",$200,1
181,"Dark orange Crib",$289,58
182,"Dark cyan Coffee Table",$200,83
183,"Han blue Dining Table",$800,48
184,"Chocolate Nightstand",$81.99,30
185,"Plum Sectional","$1,039.99",83
186,"Lavender blue Dining Chair",$89.99,66
187,"Coral Plant Stand",$42.99,74
188,"Cornell red Nightstand",$81.99,44
189,"Imperial red Loveseat",$269.99,1
190,"French violet Reclining Sofa","$1,119.99",34
191,"Pale silver Reclining Loveseat","$1,023.99",15
192,"Eggplant Dining Table",$800,47
193,"Army green Dining Chair",$89.99,8
194,"Neon green Storage Bench",$194.99,49
195,"Pansy purple Loveseat",$269.99,81
196,"Light sea green Headboard",$222.99,46
197,"Maximum red purple Bed",$389.99,22
198,"Avocado Ottoman",$52.99,21
199,"International Klein Blue Plant Stand",$42.99,62
200,"Maximum red Loveseat",$269.99,44
201,"Purple Crib",$289,67
202,"Pale spring bud Reclining Loveseat","$1,023.99",82
203,"Yellow-green Loveseat",$269.99,47
204,"Rojo Spanish red Loveseat",$269.99,74
205,"Copper penny Dining Table",$800,56
206,"Brown Reclining Loveseat","$1,023.99",69
207,"Desert sand Storage Bench",$194.99,39
208,"Maximum blue purple Sleeper Sofa","$1,279.99",15
209,"Midnight blue Dining Table",$800,68
210,"Mountbatten pink End Table",$39.99,0
211,"Blaze orange Bed",$389.99,70
212,"Deep chestnut Crib",$289,33
213,"Ash gray Sleeper Sofa","$1,279.99",55
214,"Auburn Loveseat",$269.99,1
215,"India green Reclining Loveseat","$1,023.99",58
216,"Mango Tango Coffee Table",$200,56
217,"Light yellow Loveseat",$269.99,12
218,"Taupe gray Reclining Loveseat","$1,023.99",68
219,"Cyber yellow Headboard",$222.99,93
220,"Electric blue Stool",$54.99,32
221,"Desert sand Storage Bench",$194.99,74
222,"Avocado Crib",$289,45
223,"June bud Dresser",$699.99,22
224,"Bright navy blue Ottoman",$52.99,30
225,"Prussian blue Storage Bench",$194.99,1
226,"Dark violet Wardrobe",$719.99,98
227,"Lincoln green Coffee Table",$200,59
228,"Maximum blue green Reclining Sofa","$1,119.99",54
229,"Pale silver Ottoman",$52.99,61
230,"Ruby red Headboard",$222.99,22
231,"Space cadet blue Reclining Sofa","$1,119.99",22
232,"Rose pink Ottoman",$52.99,70
233,"Strawberry Blonde Crib",$289,42
234,"Medium sea green Wardrobe",$719.99,11
235,"Winter Sky Bench",$114.99,18
236,"Copper Reclining Loveseat","$1,023.99",69
237,"Razzmic Berry Crib",$289,16
238,"MSU green Loveseat",$269.99,35
239,"Winter Sky Loveseat",$269.99,0
240,"Davy's grey Nightstand",$81.99,74
241,"Spanish sky blue Dresser",$699.99,70
242,"Opal Futon",$219.99,58
243,"Magenta haze Reclining Loveseat","$1,023.99",79
244,"Radical Red Dining Chair",$89.99,10
245,"Sky blue Bench",$114.99,68
246,"Big dip o’ruby Reclining Loveseat","$1,023.99",9
247,"Majorelle blue Futon",$219.99,32
248,"Neon blue Loveseat",$269.99,59
249,"Bluetiful Bench",$114.99,38
250,"Purple pizzazz Sofa",$649.99,55
251,"Tango pink Loveseat",$269.99,59
252,"Satin sheen gold Chaise Lounge",$235.99,55
253,"Sky blue Sleeper Sofa","$1,279.99",84
254,"Spanish sky blue Nightstand",$81.99,38
255,"Falu red Wardrobe",$719.99,33
256,"Dark olive green Bench",$114.99,67
257,"Medium violet-red Bench",$114.99,90
258,"Razzmatazz Wardrobe",$719.99,14
259,"Radical Red Stool",$54.99,7
260,"Dark purple Sofa",$649.99,34
261,"Bittersweet shimmer Wardrobe",$719.99,18
262,"Aquamarine Sofa",$649.99,56
263,"Old silver Daybed",$311.99,16
264,"Olive Drab Plant Stand",$42.99,77
265,"Royal yellow Sleeper Sofa","$1,279.99",25
266,"Solid pink Sofa",$649.99,66
267,"Pearly purple Dining Table",$800,33
268,"Rose Dust Bed",$389.99,53
269,"Indigo dye Ottoman",$52.99,85
270,"Laurel green Nightstand",$81.99,33
271,"Cinnabar Dining Chair",$89.99,62
272,"Dark cyan Headboard",$222.99,48
273,"Copper red Reclining Sofa","$1,119.99",100
274,"Amethyst Futon",$219.99,46
275,"Aquamarine Loveseat",$269.99,51
276,"Deep champagne Reclining Loveseat","$1,023.99",87
277,"Brick red Dining Table",$800,60
278,"USAFA blue Reclining Sofa","$1,119.99",96
279,"Rust Coffee Table",$200,90
280,"Razzmatazz Futon",$219.99,35
281,"Arctic lime Dining Chair",$89.99,50
282,"Light green Bed",$389.99,88
283,"Black olive Chaise Lounge",$235.99,16
284,"Burgundy Coffee Table",$200,25
285,"Denim Bed",$389.99,23
286,"Chartreuse Ottoman",$52.99,28
287,"Dark cyan Futon",$219.99,93
288,"Ming Crib",$289,89
289,"Persian blue Sofa",$649.99,66
290,"Dark slate gray Chaise Lounge",$235.99,91
291,"Mellow apricot Daybed",$311.99,37
292,"Trypan Blue Dresser",$699.99,11
293,"Maximum yellow red Daybed",$311.99,8
294,"Chartreuse Loveseat",$269.99,61
295,"Prussian blue Bench",$114.99,99
296,"Kombu green Plant Stand",$42.99,68
297,"Shadow grey Nightstand",$81.99,73
298,"Dark sienna Chaise Lounge",$235.99,31
299,"Sweet Brown Reclining Loveseat","$1,023.99",46
300,"Eton blue Storage Bench",$194.99,92
301,"Vanilla ice Dresser",$699.99,20
302,"Trypan Blue Plant Stand",$42.99,35
303,"Android green Crib",$289,15
304,"Solid pink Reclining Loveseat","$1,023.99",21
305,"Army green Dining Chair",$89.99,73
306,"Castleton green Crib",$289,44
307,"Persian indigo Reclining Loveseat","$1,023.99",84
308,"Gray Reclining Loveseat","$1,023.99",70
309,"Misty moss green Storage Bench",$194.99,58
310,"Platinum Nightstand",$81.99,91
311,"Warm black Futon",$219.99,59
312,"Titanium yellow Coffee Table",$200,66
313,"Blaze orange Nightstand",$81.99,95
314,"Mustard yellow Loveseat",$269.99,82
315,"Cadet blue Crib",$289,53
316,"Lemon glacier Reclining Sofa","$1,119.99",99
317,"Coral Dining Chair",$89.99,85
318,"Persian green Plant Stand",$42.99,50
319,"Violet-blue Headboard",$222.99,64
320,"MSU green Chaise Lounge",$235.99,93
321,"Dark electric blue Sleeper Sofa","$1,279.99",95
322,"Cyan Sleeper Sofa","$1,279.99",95
323,"June bud Daybed",$311.99,77
324,"Linen Reclining Sofa","$1,119.99",59
325,"Phthalo green Headboard",$222.99,58
326,"Spanish violet Ottoman",$52.99,0
327,"Resolution blue Sofa",$649.99,37
328,"Maya blue Storage Bench",$194.99,70
329,"Dartmouth green Chaise Lounge",$235.99,32
330,"Metallic Sunburst Wardrobe",$719.99,28
331,"Coral pink Wardrobe",$719.99,97
332,"Schauss pink Coffee Table",$200,66
333,"Orchid Sectional","$1,039.99",10
334,"Falu red Sectional","$1,039.99",87
335,"Syracuse Orange End Table",$39.99,15
336,"Medium violet-red Coffee Table",$200,41
337,"Satin sheen gold Headboard",$222.99,30
338,"Rust Wardrobe",$719.99,31
339,"Blue bell Nightstand",$81.99,58
340,"Paradise pink Daybed",$311.99,94
341,"Beige Daybed",$311.99,49
342,"Honeydew Wardrobe",$719.99,16
343,"Solid pink Bed",$389.99,29
344,"Dark jungle green Stool",$54.99,43
345,"Spring bud Sleeper Sofa","$1,279.99",42
346,"Vanilla ice Nightstand",$81.99,22
347,"Venetian red Reclining Loveseat","$1,023.99",25
348,"Kelly green Headboard",$222.99,8
349,"Sea green Dining Chair",$89.99,67
350,"Floral white Storage Bench",$194.99,80
351,"Pistachio Reclining Loveseat","$1,023.99",66
352,"Cerulean blue Futon",$219.99,91
353,"Lemon curry Daybed",$311.99,91
354,"Electric violet Ottoman",$52.99,85
355,"Dark red Dresser",$699.99,56
356,"Dim gray Bed",$389.99,48
357,"Light salmon Ottoman",$52.99,8
358,"Tawny Plant Stand",$42.99,16
359,"Carrot orange Bench",$114.99,32
360,"Cornflower blue Plant Stand",$42.99,6
361,"Vivid violet Sofa",$649.99,78
362,"Burnt umber Bed",$389.99,53
363,"Coral Plant Stand",$42.99,55
364,"Coral pink Dining Table",$800,51
365,"Cream Headboard",$222.99,79
366,"Wisteria purple Reclining Loveseat","$1,023.99",7
367,"Pansy purple End Table",$39.99,25
368,"Middle blue Chaise Lounge",$235.99,59
369,"Duke blue Storage Bench",$194.99,24
370,"Naples yellow Loveseat",$269.99,67
371,"Navajo white Sleeper Sofa","$1,279.99",56
372,"Pink Sherbet Ottoman",$52.99,49
373,"Silver Loveseat",$269.99,81
374,"Old lace Crib",$289,8
375,"Hot magenta Wardrobe",$719.99,9
376,"Sienna Chaise Lounge",$235.99,23
377,"Pink flamingo Daybed",$311.99,22
378,"Turtle green End Table",$39.99,100
379,"Olive Reclining Sofa","$1,119.99",78
380,"Red-orange Stool",$54.99,94
381,"British racing green Ottoman",$52.99,21
382,"Viridian green Bench",$114.99,76
383,"University of Pennsylvania red Reclining Sofa","$1,119.99",44
384,"Mauve Stool",$54.99,14
385,"Paolo Veronese green Reclining Loveseat","$1,023.99",5
386,"Tropical rainforest Reclining Loveseat","$1,023.99",9
387,"Dark brown Sleeper Sofa","$1,279.99",41
388,"Cadet grey Ottoman",$52.99,8
389,"Army green Bed",$389.99,52
390,"Carolina blue Dining Chair",$89.99,42
391,"Ultramarine blue Futon",$219.99,56
392,"Ruby red Storage Bench",$194.99,74
393,"Mahogany Futon",$219.99,84
394,"Middle yellow Crib",$289,19
395,"Celadon green Crib",$289,95
396,"Rose ebony Chaise Lounge",$235.99,83
397,"Lemon yellow Crib",$289,13
398,"British racing green Futon",$219.99,30
399,"Caribbean green Dresser",$699.99,93
400,"Cambridge blue Sofa",$649.99,29
401,"Dartmouth green Sleeper Sofa","$1,279.99",87
402,"Mountain Meadow green Bench",$114.99,57
403,"Rose pink Bench",$114.99,24
404,"Davy's grey Nightstand",$81.99,13
405,"Warm black Plant Stand",$42.99,54
406,"University of Pennsylvania red Dining Chair",$89.99,88
407,"Orange soda End Table",$39.99,75
408,"Thulian pink End Table",$39.99,45
409,"Canary yellow Daybed",$311.99,18
410,"Dark electric blue Daybed",$311.99,70
411,"Straw Dining Table",$800,39
412,"Tangerine Stool",$54.99,89
413,"Deep chestnut Reclining Sofa","$1,119.99",98
414,"Cadet blue Plant Stand",$42.99,34
415,"Coyote brown End Table",$39.99,59
416,"Dark turquoise Coffee Table",$200,6
417,"Light goldenrod yellow Dining Chair",$89.99,30
418,"Steel Teal Bed",$389.99,32
419,"Light coral Plant Stand",$42.99,62
420,"Blizzard blue Reclining Loveseat","$1,023.99",80
421,"Denim Wardrobe",$719.99,6
422,"Opal Reclining Sofa","$1,119.99",94
423,"Spanish green Daybed",$311.99,2
424,"KSU purple Crib",$289,65
425,"Yellow-green Headboard",$222.99,63
426,"Rose Dining Chair",$89.99,36
427,"Persian indigo Coffee Table",$200,9
428,"School Bus Yellow Storage Bench",$194.99,5
429,"Alabaster Dining Table",$800,68
430,"Neon blue Plant Stand",$42.99,65
431,"Dogwood rose Futon",$219.99,45
432,"Neon green Headboard",$222.99,23
433,"French pink Reclining Loveseat","$1,023.99",45
434,"Chinese yellow Ottoman",$52.99,86
435,"Yellow Sunshine Sleeper Sofa","$1,279.99",41
436,"Sapphire blue Stool",$54.99,22
437,"Vegas gold Reclining Sofa","$1,119.99",98
438,"Orange-yellow Stool",$54.99,47
439,"French beige Nightstand",$81.99,16
440,"UP maroon End Table",$39.99,99
441,"Russet brown Sofa",$649.99,49
442,"Sandy brown Dresser",$699.99,58
443,"Schauss pink Loveseat",$269.99,90
444,"Cotton candy Dresser",$699.99,16
445,"Lemon yellow Stool",$54.99,22
446,"Dark lava Bed",$389.99,79
447,"Dark electric blue Nightstand",$81.99,70
448,"Spanish red Futon",$219.99,37
449,"Razzle dazzle rose Dining Table",$800,41
450,"Baker-Miller pink Storage Bench",$194.99,74
451,"Hot pink Stool",$54.99,26
452,"Maximum red Dresser",$699.99,15
453,"Orange peel Reclining Loveseat","$1,023.99",60
454,"Rose ebony Bed",$389.99,96
455,"Ghost white Dresser",$699.99,10
456,"Deep sky blue End Table",$39.99,64
457,"Indian red Crib",$289,97
458,"UA red Plant Stand",$42.99,99
459,"Rufous Dining Chair",$89.99,17
460,"Light gray Crib",$289,49
461,"Antique bronze Bed",$389.99,48
462,"Dark red Ottoman",$52.99,47
463,"Green-cyan Headboard",$222.99,36
464,"Antique bronze Sleeper Sofa","$1,279.99",10
465,"Cosmic latte Headboard",$222.99,42
466,"Rose red Chaise Lounge",$235.99,45
467,"Lapis lazuli Reclining Sofa","$1,119.99",1
468,"Crimson Futon",$219.99,94
469,"Pink Sherbet Bed",$389.99,63
470,"MSU green Reclining Sofa","$1,119.99",68
471,"Medium blue Dining Chair",$89.99,16
472,"Ming Stool",$54.99,16
473,"Spanish green Reclining Loveseat","$1,023.99",13
474,"Forest green Crib",$289,88
475,"Maximum red Daybed",$311.99,77
476,"Onyx Dresser",$699.99,66
477,"Carmine End Table",$39.99,48
478,"Slate gray Sofa",$649.99,73
479,"Forest green Daybed",$311.99,92
480,"Wild Strawberry Dining Chair",$89.99,93
481,"Middle green Futon",$219.99,27
482,"Golden brown Storage Bench",$194.99,41
483,"Carnation pink Dining Chair",$89.99,32
484,"Light orange Dining Chair",$89.99,27
485,"Orange-yellow End Table",$39.99,49
486,"Smoky black Dresser",$699.99,90
487,"Almond Bed",$389.99,28
488,"Schauss pink Sectional","$1,039.99",17
489,"Flame Headboard",$222.99,63
490,"Old rose Bed",$389.99,11
491,"Chocolate Coffee Table",$200,89
492,"Lemon Bed",$389.99,16
493,"Dutch white Dresser",$699.99,91
494,"Deep cerise Ottoman",$52.99,68
495,"Middle purple Dresser",$699.99,43
496,"Castleton green Headboard",$222.99,82
497,"Wild orchid Plant Stand",$42.99,68
498,"Maximum blue purple Loveseat",$269.99,29
499,"Black bean Coffee Table",$200,50
500,"Melon pink Stool",$54.99,86
501,"Lime Coffee Table",$200,52
502,"Café noir Futon",$219.99,60
503,"Brown Bed",$389.99,90
504,"Mango Tango Reclining Loveseat","$1,023.99",87
505,"Moss green Reclining Sofa","$1,119.99",93
506,"Spring green Sleeper Sofa","$1,279.99",79
507,"Golden poppy Sectional","$1,039.99",67
508,"Vanilla ice Sectional","$1,039.99",41
509,"Yellow Bench",$114.99,75
510,"Cinnamon Satin Nightstand",$81.99,24
511,"Italian sky blue Dresser",$699.99,63
512,"Mystic maroon Dining Table",$800,18
513,"Café au lait Loveseat",$269.99,100
514,"Pewter Blue Futon",$219.99,28
515,"Key lime Reclining Sofa","$1,119.99",20
516,"Peach Futon",$219.99,18
517,"Rose ebony Bed",$389.99,68
518,"Rose red Sofa",$649.99,57
519,"Candy pink Plant Stand",$42.99,57
520,"Cardinal Bench",$114.99,26
521,"French raspberry Wardrobe",$719.99,9
522,"Black bean Stool",$54.99,19
523,"Ash gray Headboard",$222.99,32
524,"Mountbatten pink Chaise Lounge",$235.99,30
525,"Maximum yellow Reclining Loveseat","$1,023.99",6
526,"Upsdell red Storage Bench",$194.99,87
527,"Thulian pink Daybed",$311.99,87
528,"Amaranth red Chaise Lounge",$235.99,11
529,"Electric violet Futon",$219.99,16
530,"Avocado Loveseat",$269.99,53
531,"Bittersweet shimmer Wardrobe",$719.99,53
532,"Onyx Sofa",$649.99,35
533,"Mango Tango Nightstand",$81.99,58
534,"Mellow apricot Sleeper Sofa","$1,279.99",48
535,"Silver chalice Reclining Loveseat","$1,023.99",1
536,"Bright lilac End Table",$39.99,55
537,"Maximum red Plant Stand",$42.99,73
538,"Sienna Reclining Sofa","$1,119.99",98
539,"Olivine Dining Chair",$89.99,47
540,"Plum Bed",$389.99,90
541,"Artichoke Bench",$114.99,20
542,"Dark orange Ottoman",$52.99,31
543,"Pumpkin Bench",$114.99,49
544,"Sunray gold Stool",$54.99,49
545,"Dark moss green Sleeper Sofa","$1,279.99",16
546,"Pearly purple Chaise Lounge",$235.99,87
547,"Stil de grain yellow Coffee Table",$200,0
548,"French bistre Sofa",$649.99,46
549,"Field drab Chaise Lounge",$235.99,96
550,"Rose quartz Stool",$54.99,32
551,"Mellow apricot Daybed",$311.99,52
552,"Winter Sky Dining Table",$800,54
553,"Wine dregs maroon Dresser",$699.99,82
554,"Bitter lime Plant Stand",$42.99,33
555,"Han blue Bed",$389.99,93
556,"Dark cyan Stool",$54.99,8
557,"Mint green Plant Stand",$42.99,90
558,"Bright navy blue Daybed",$311.99,50
559,"Ebony Headboard",$222.99,95
560,"Flame Plant Stand",$42.99,47
561,"Citrine Bed",$389.99,8
562,"Persian pink Bench",$114.99,66
563,"Raspberry Storage Bench",$194.99,13
564,"French violet Bench",$114.99,99
565,"Light yellow Dining Chair",$89.99,23
566,"Dim gray Nightstand",$81.99,95
567,"Gray Reclining Sofa","$1,119.99",45
568,"Columbia Blue Sleeper Sofa","$1,279.99",58
569,"Hansa yellow Futon",$219.99,99
570,"Teal Ottoman",$52.99,1
571,"Wild Strawberry Plant Stand",$42.99,86
572,"Desert Ottoman",$52.99,0
573,"Indigo Bed",$389.99,60
574,"Light French beige Daybed",$311.99,99
575,"Medium aquamarine Reclining Sofa","$1,119.99",97
576,"Sandy brown Sofa",$649.99,71
577,"Amazon green Daybed",$311.99,64
578,"Desert Headboard",$222.99,11
579,"Cotton candy Bed",$389.99,55
580,"Asparagus green Futon",$219.99,91
581,"Copper red Headboard",$222.99,17
582,"Cornflower blue Wardrobe",$719.99,64
583,"Violet Dining Table",$800,5
584,"Quinacridone magenta Storage Bench",$194.99,23
585,"Vivid tangerine Dresser",$699.99,96
586,"Pale purple Sleeper Sofa","$1,279.99",88
587,"Coffee Chaise Lounge",$235.99,1
588,"Burnt orange Bench",$114.99,61
589,"Iceberg Nightstand",$81.99,61
590,"Dark moss green Plant Stand",$42.99,87
591,"English vermillion Crib",$289,22
592,"Rose red Sectional","$1,039.99",11
593,"Imperial red Chaise Lounge",$235.99,92
594,"Honolulu blue Crib",$289,100
595,"Silver pink Storage Bench",$194.99,89
596,"Cadmium yellow Wardrobe",$719.99,67
597,"French violet Plant Stand",$42.99,95
598,"Navajo white Reclining Loveseat","$1,023.99",11
599,"Linen Sectional","$1,039.99",14
600,"Russian violet Storage Bench",$194.99,98
601,"MSU green Storage Bench",$194.99,54
602,"International orange Reclining Loveseat","$1,023.99",78
603,"Mellow yellow Crib",$289,44
604,"Purple mountain majesty End Table",$39.99,6
605,"Sage green Dining Table",$800,93
606,"Naples yellow Plant Stand",$42.99,33
607,"Sand Wardrobe",$719.99,88
608,"Dark salmon Dining Table",$800,19
609,"Desert Loveseat",$269.99,45
610,"Light slate gray Bed",$389.99,89
611,"Wild Strawberry Bench",$114.99,70
612,"Taupe gray Daybed",$311.99,75
613,"Shamrock green Futon",$219.99,76
614,"Spring Frost Stool",$54.99,77
615,"Goldenrod Bed",$389.99,81
616,"Strawberry Sofa",$649.99,8
617,"Onyx End Table",$39.99,35
618,"Light yellow Plant Stand",$42.99,81
619,"Gold Fusion Loveseat",$269.99,92
620,"Rosy brown Storage Bench",$194.99,18
621,"St. Patrick's blue Loveseat",$269.99,54
622,"Pine green Daybed",$311.99,99
623,"Red-purple End Table",$39.99,84
624,"Spanish orange Dining Chair",$89.99,69
625,"Spanish blue Chaise Lounge",$235.99,9
626,"Ash gray Storage Bench",$194.99,74
627,"Dark purple Stool",$54.99,22
628,"Opal Stool",$54.99,81
629,"Black olive Chaise Lounge",$235.99,98
630,"Chrome yellow Reclining Sofa","$1,119.99",60
631,"Spanish green Futon",$219.99,71
632,"Silver sand Dining Table",$800,5
633,"Tuscan red Nightstand",$81.99,65
634,"Medium spring green Dining Chair",$89.99,20
635,"Jungle green Ottoman",$52.99,46
636,"Ebony Bench",$114.99,71
637,"Coral Ottoman",$52.99,2
638,"Egyptian blue Stool",$54.99,36
639,"Vivid violet Dining Table",$800,27
640,"Old gold Plant Stand",$42.99,0
641,"Bitter lime Headboard",$222.99,56
